Task_ID,Project_Phase,Start_Date,End_Date,Planned_Duration_Days,Task_Duration_Days,Schedule_Variance_Days,Delay_Flag,Labor_Required,Equipment_Units,Planned_Cost_USD,Material_Cost_USD,Cost_Variance_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count,Safety_Incident_Count,Incident_Severity,Near_Miss_Count,Safety_Score
T51,Closeout & Commissioning,2024-12-25,2025-01-08,15,14,-1,0,5,8,7564.21,9271.88,1707.67,21,High,0.24,0.28,0,3,Minor,1,50.4
T52,Finishing & Interiors,2025-01-03,2025-01-12,7,9,2,1,12,8,2924.48,2893.77,-30.71,20,Low,0.83,0.15,4,0,None,0,100.0
T53,Closeout & Commissioning,2025-02-13,2025-04-07,45,53,8,1,17,8,13327.19,17409.07,4081.88,27,Low,0.88,0.18,0,0,None,0,100.0
T54,Finishing & Interiors,2024-12-16,2024-12-18,1,2,1,1,17,9,88141.5,89194.7,1053.2,16,Medium,0.84,0.45,4,2,Moderate,1,61.3
T55,MEP,2024-10-28,2025-01-20,69,84,15,1,10,4,25209.1,24912.15,-296.95,27,Low,0.61,0.28,3,0,None,0,100.0
T56,Closeout & Commissioning,2025-02-07,2025-04-08,60,60,0,0,17,5,29129.55,36072.86,6943.31,8,Medium,0.39,0.51,1,0,None,0,100.0
T57,Foundation & Sitework,2024-04-08,2024-06-18,81,71,-10,0,15,5,11229.78,11429.2,199.42,1,Low,0.88,0.3,4,0,None,0,100.0
T58,Foundation & Sitework,2024-04-16,2024-05-30,33,44,11,1,12,8,20362.83,23013.77,2650.94,24,Medium,0.78,0.85,3,1,Minor,0,89.0
T59,Pre-Construction,2024-03-11,2024-03-19,7,8,1,1,16,7,51947.88,52403.23,455.35,25,Low,0.98,0.82,2,2,Minor,0,69.0
T60,Structural,2024-06-13,2024-07-30,34,47,13,1,19,9,55235.01,61167.52,5932.51,17,Low,0.32,0.55,0,0,None,0,98.3
T61,Structural,2024-07-17,2024-08-21,37,35,-2,0,8,8,19062.29,25289.88,6227.59,8,Low,0.38,0.38,2,0,None,0,95.1
T62,Structural,2024-07-15,2024-10-01,63,78,15,1,17,2,7434.93,6715.48,-719.45,5,Low,0.37,0.4,3,1,Moderate,0,78.3
T63,Finishing & Interiors,2024-11-25,2025-02-14,68,81,13,1,5,4,32250.76,39712.25,7461.49,10,Low,0.83,0.43,2,0,None,2,97.0
T64,Structural,2024-07-04,2024-08-09,27,36,9,1,16,6,24647.23,24186.13,-461.1,24,Low,0.35,0.68,2,0,None,0,96.0
T65,Structural,2024-07-15,2024-09-03,49,50,1,1,6,2,20167.04,22735.84,2568.8,28,Low,0.25,0.46,3,0,None,2,94.8
T66,MEP,2024-08-16,2024-08-20,3,4,1,1,8,7,76206.1,96026.42,19820.32,5,Low,1.0,0.79,1,0,None,0,99.6
T67,Foundation & Sitework,2024-04-10,2024-04-12,2,2,0,0,18,3,54225.02,62013.75,7788.73,5,Medium,0.22,0.86,4,0,None,1,93.2
T68,Finishing & Interiors,2024-12-23,2024-12-29,6,6,0,0,12,3,56960.66,56130.97,-829.69,12,High,0.87,0.37,0,1,Moderate,1,76.8
T69,Pre-Construction,2024-03-04,2024-04-27,42,54,12,1,15,2,39221.18,42161.74,2940.56,10,Low,0.49,0.55,4,0,None,3,88.1
T70,Closeout & Commissioning,2025-02-10,2025-02-14,3,4,1,1,9,8,33099.36,43465.49,10366.13,13,Medium,0.87,0.18,0,0,None,2,89.7
T71,Finishing & Interiors,2024-11-18,2025-01-11,62,54,-8,0,13,6,50287.65,54549.6,4261.95,1,Medium,0.64,0.26,4,0,None,4,88.9
T72,Foundation & Sitework,2024-04-22,2024-06-24,59,63,4,1,15,1,62828.19,69946.55,7118.36,7,Low,0.92,0.43,2,0,None,2,96.4
T73,Pre-Construction,2024-04-09,2024-04-27,17,18,1,1,10,1,79026.35,70512.46,-8513.89,2,Medium,0.94,0.26,1,0,None,0,95.3
T74,Finishing & Interiors,2024-11-06,2024-12-20,40,44,4,1,16,7,19388.03,17997.7,-1390.33,22,Low,0.21,0.8,2,0,None,0,100.0
T75,Finishing & Interiors,2024-12-09,2025-01-12,26,34,8,1,7,8,42237.1,50511.16,8274.06,20,Medium,0.26,0.23,1,1,Minor,3,76.3
T76,Finishing & Interiors,2024-11-07,2025-01-20,74,74,0,0,17,5,41691.21,41783.85,92.64,2,Low,0.4,0.46,3,1,Minor,0,81.0
T77,Finishing & Interiors,2024-10-21,2024-12-22,47,62,15,1,7,5,70327.99,87182.17,16854.18,0,Medium,0.74,0.58,0,0,None,0,96.7
T78,Pre-Construction,2024-04-15,2024-04-29,9,14,5,1,14,4,62820.32,63510.47,690.15,23,Medium,0.91,0.65,0,0,None,1,97.7
T79,Structural,2024-08-15,2024-10-02,44,48,4,1,15,6,52769.15,53717.9,948.75,18,Low,0.57,0.41,3,0,None,0,98.0
T80,Foundation & Sitework,2024-04-24,2024-05-09,11,15,4,1,7,6,13243.95,12424.07,-819.88,17,Low,0.69,0.8,4,0,None,0,100.0
T81,Finishing & Interiors,2024-10-24,2025-01-04,59,72,13,1,9,3,52768.55,60958.15,8189.6,16,High,0.35,0.55,3,0,None,3,94.2
T82,MEP,2024-10-16,2025-01-02,62,78,16,1,19,9,12435.83,12603.19,167.36,19,Low,0.84,0.45,3,0,None,0,100.0
T83,Structural,2024-06-07,2024-09-02,92,87,-5,0,16,7,30668.13,34383.45,3715.32,28,Medium,0.97,0.15,1,1,Minor,2,76.6
T84,Pre-Construction,2024-04-08,2024-06-09,58,62,4,1,8,1,16322.34,15141.35,-1180.99,23,High,0.41,0.47,3,1,Moderate,3,70.7
T85,Structural,2024-07-29,2024-09-07,41,40,-1,0,18,7,66552.12,69515.29,2963.17,12,Medium,0.6,0.76,0,0,None,0,99.3
T86,Structural,2024-08-02,2024-10-26,79,85,6,1,18,5,21490.33,21418.96,-71.37,2,Medium,0.27,0.59,2,0,None,0,98.5
T87,Finishing & Interiors,2024-12-09,2025-02-27,80,80,0,0,7,5,40405.86,39794.08,-611.78,29,Medium,0.65,0.77,1,0,None,1,92.5
T88,MEP,2024-08-19,2024-11-09,66,82,16,1,3,2,88422.65,89671.8,1249.15,0,High,0.6,0.5,1,0,None,1,92.5
T89,Finishing & Interiors,2024-11-05,2024-12-28,56,53,-3,0,18,4,17798.73,21227.32,3428.59,3,Low,0.32,0.19,4,0,None,4,89.9
T90,MEP,2024-10-28,2024-11-21,18,24,6,1,10,6,56900.84,51272.7,-5628.14,24,Low,0.55,0.11,2,0,None,1,96.6
T91,Foundation & Sitework,2024-05-09,2024-06-04,23,26,3,1,7,7,37311.15,42507.89,5196.74,12,Low,0.47,0.34,1,0,None,0,97.3
T92,Finishing & Interiors,2025-01-01,2025-03-31,64,89,25,1,17,5,2816.76,2794.28,-22.48,16,High,0.62,0.66,3,0,None,3,92.1
T93,Finishing & Interiors,2024-10-25,2024-12-24,44,60,16,1,14,9,69916.4,79483.05,9566.65,27,Medium,0.67,0.73,1,0,None,2,91.5
T94,MEP,2024-09-09,2024-10-20,31,41,10,1,3,3,6730.57,7835.54,1104.97,29,Low,0.21,0.34,1,0,None,1,97.8
T95,Finishing & Interiors,2024-12-23,2025-01-21,20,29,9,1,12,1,46435.14,47951.25,1516.11,10,High,0.81,0.5,1,0,None,0,98.6
T96,MEP,2024-10-18,2024-11-02,15,15,0,0,13,4,46212.77,56507.15,10294.38,1,Low,0.77,0.44,4,1,Serious,2,57.2
T97,MEP,2024-09-04,2024-10-19,37,45,8,1,2,9,52120.42,63214.22,11093.8,24,Low,0.49,0.43,1,0,None,0,100.0
T98,Structural,2024-08-27,2024-10-31,55,65,10,1,3,4,66514.89,69174.53,2659.64,15,Medium,0.24,0.29,1,0,None,4,87.8
T99,Pre-Construction,2024-03-18,2024-06-15,72,89,17,1,5,2,23179.37,26073.97,2894.6,1,Low,0.8,0.21,4,0,None,2,92.5
T100,Foundation & Sitework,2024-05-01,2024-07-11,71,71,0,0,11,5,2025.99,1987.9,-38.09,28,High,0.96,0.26,2,1,Moderate,0,73.6
T101,Pre-Construction,2024-03-05,2024-03-14,8,9,1,1,8,3,78466.06,72620.92,-5845.14,18,Low,0.39,0.14,0,0,None,0,100.0
T102,MEP,2024-08-19,2024-11-15,73,88,15,1,12,9,46442.68,54030.0,7587.32,22,High,0.46,0.26,4,1,Minor,0,83.3
T103,Structural,2024-07-22,2024-07-23,1,1,0,0,7,4,64491.78,83775.65,19283.87,18,Medium,0.35,0.11,4,0,None,2,91.1
T104,MEP,2024-10-18,2024-10-26,8,8,0,0,15,6,66858.43,82317.45,15459.02,24,Low,0.66,0.6,1,0,None,3,86.8
T105,Closeout & Commissioning,2025-01-27,2025-04-25,88,88,0,0,17,2,71135.3,84489.29,13353.99,15,High,0.32,0.35,1,0,None,0,99.7
T106,Structural,2024-08-02,2024-10-04,49,63,14,1,4,6,49608.36,49024.37,-583.99,21,Medium,0.48,0.88,0,0,None,2,93.8
T107,Structural,2024-08-09,2024-08-20,11,11,0,0,13,3,34525.17,34029.21,-495.96,18,Low,0.76,0.25,1,0,None,2,97.4
T108,Finishing & Interiors,2024-11-11,2025-01-31,81,81,0,0,18,9,69006.0,79364.26,10358.26,8,Low,0.65,0.38,3,0,None,0,97.2
T109,Foundation & Sitework,2024-06-05,2024-06-13,7,8,1,1,1,2,39533.32,45678.12,6144.8,0,High,0.51,0.39,1,0,None,0,98.8
T110,Pre-Construction,2024-03-19,2024-04-23,34,35,1,1,16,9,16958.61,19160.78,2202.17,9,Low,0.54,0.11,1,0,None,0,100.0
T111,Structural,2024-07-04,2024-08-08,28,35,7,1,13,5,87241.22,85642.43,-1598.79,18,Low,0.65,0.77,3,0,None,1,100.0
T112,Foundation & Sitework,2024-05-07,2024-06-09,23,33,10,1,10,8,98417.95,88373.43,-10044.52,0,Low,0.2,0.13,0,0,None,1,95.8
T113,Closeout & Commissioning,2025-01-08,2025-01-13,4,5,1,1,12,2,44886.19,47164.67,2278.48,1,Low,0.26,0.85,3,0,None,4,87.6
T114,Finishing & Interiors,2024-11-04,2024-12-15,38,41,3,1,2,6,6626.8,8494.27,1867.47,15,Medium,0.91,0.81,4,0,None,0,98.0
T115,MEP,2024-09-17,2024-10-15,21,28,7,1,3,3,42848.41,39394.78,-3453.63,11,Low,0.26,0.53,3,1,Moderate,0,79.3
T116,Finishing & Interiors,2024-11-01,2024-11-08,8,7,-1,0,10,5,83631.31,80550.23,-3081.08,7,Low,0.77,0.53,2,0,None,4,84.2
T117,Finishing & Interiors,2024-12-23,2025-03-06,67,73,6,1,2,8,76649.63,90275.63,13626.0,22,Low,0.94,0.62,4,1,Minor,0,89.3
T118,Foundation & Sitework,2024-04-08,2024-06-19,63,72,9,1,13,1,18568.99,21143.8,2574.81,17,Low,0.42,0.41,1,0,None,3,92.8
T119,Finishing & Interiors,2024-12-30,2025-01-11,11,12,1,1,13,5,5928.01,7630.39,1702.38,1,High,0.5,0.62,4,1,Minor,0,85.3
T120,MEP,2024-10-09,2024-11-12,37,34,-3,0,18,3,86817.44,87857.69,1040.25,24,Low,0.66,0.14,0,0,None,2,89.3
T121,Finishing & Interiors,2024-11-25,2024-12-28,24,33,9,1,3,4,31173.29,39551.09,8377.8,28,High,0.91,0.14,0,0,None,0,99.8
T122,Finishing & Interiors,2024-12-27,2025-02-13,39,48,9,1,7,2,46292.14,54634.34,8342.2,12,Low,0.95,0.47,3,0,None,4,87.1
T123,Structural,2024-08-22,2024-09-14,19,23,4,1,14,9,95113.28,96838.52,1725.24,5,Low,0.79,0.54,4,0,None,0,96.6
T124,Foundation & Sitework,2024-06-10,2024-08-11,53,62,9,1,17,3,5739.44,7589.91,1850.47,20,High,0.27,0.81,1,0,None,0,100.0
T125,Foundation & Sitework,2024-05-31,2024-08-27,92,88,-4,0,12,2,65216.37,65183.48,-32.89,25,Low,0.74,0.18,0,1,Minor,0,89.7
T126,Structural,2024-06-21,2024-07-28,40,37,-3,0,16,9,7552.87,8336.44,783.57,5,Medium,0.53,0.76,1,0,None,2,94.6
T127,Finishing & Interiors,2024-12-23,2025-02-05,34,44,10,1,12,7,33084.33,38171.42,5087.09,8,High,0.58,0.27,2,0,None,0,100.0
T128,Finishing & Interiors,2025-01-06,2025-04-02,102,86,-16,0,15,6,81731.05,80577.64,-1153.41,15,Low,0.24,0.42,0,0,None,2,89.7
T129,Pre-Construction,2024-03-11,2024-04-15,25,35,10,1,10,1,39650.66,43913.75,4263.09,10,Low,0.35,0.35,3,0,None,0,99.2
T130,MEP,2024-09-02,2024-11-06,64,65,1,1,7,5,105018.35,99721.05,-5297.3,6,Medium,0.83,0.42,2,2,Serious,1,38.2
T131,Structural,2024-07-31,2024-09-16,38,47,9,1,5,3,53056.46,56346.87,3290.41,9,Low,0.56,0.22,4,0,None,0,100.0
T132,Foundation & Sitework,2024-04-19,2024-07-06,57,78,21,1,1,1,29662.17,32795.05,3132.88,9,Low,0.44,0.5,1,1,Minor,1,86.4
T133,Foundation & Sitework,2024-06-07,2024-06-10,2,3,1,1,17,4,23046.32,22791.02,-255.3,29,Low,0.51,0.74,0,0,None,1,98.6
T134,Structural,2024-07-23,2024-07-24,2,1,-1,0,3,2,30926.17,35701.53,4775.36,24,Low,0.88,0.45,2,0,None,0,95.8
T135,Closeout & Commissioning,2024-12-30,2025-01-04,4,5,1,1,13,2,40051.28,37880.79,-2170.49,19,Medium,0.8,0.49,2,1,Moderate,0,73.5
T136,Structural,2024-07-22,2024-08-05,12,14,2,1,14,3,7283.3,7802.65,519.35,17,Low,0.42,0.78,0,0,None,4,88.5
T137,MEP,2024-09-10,2024-10-07,25,27,2,1,18,8,33708.77,37587.85,3879.08,27,Low,0.29,0.66,4,0,None,0,99.0
T138,Finishing & Interiors,2024-12-13,2024-12-22,8,9,1,1,4,8,35840.36,46959.61,11119.25,23,Medium,0.4,0.49,4,0,None,0,100.0
T139,Structural,2024-08-26,2024-11-13,56,79,23,1,18,7,64899.38,72551.04,7651.66,19,Low,0.94,0.31,3,0,None,2,97.1
T140,Closeout & Commissioning,2025-01-21,2025-02-05,15,15,0,0,5,6,67305.18,66016.22,-1288.96,28,Low,0.67,0.81,4,0,None,0,100.0
T141,Closeout & Commissioning,2024-12-30,2025-02-10,47,42,-5,0,16,9,71125.76,71167.8,42.04,8,Medium,0.63,0.56,3,0,None,0,98.7
T142,Structural,2024-08-07,2024-10-23,58,77,19,1,1,4,1701.11,1828.0,126.89,14,Low,0.68,0.28,2,1,Minor,1,79.6
T143,MEP,2024-08-29,2024-10-19,51,51,0,0,14,1,17451.83,22549.07,5097.24,3,Medium,0.49,0.32,0,2,Minor,4,54.1
T144,Structural,2024-09-02,2024-11-04,58,63,5,1,15,8,66401.27,66506.74,105.47,7,High,0.85,0.74,4,0,None,2,92.5
T145,Structural,2024-07-30,2024-09-20,52,52,0,0,9,7,54548.02,48914.95,-5633.07,8,Low,0.62,0.14,3,0,None,2,93.1
T146,Pre-Construction,2024-03-11,2024-03-15,2,4,2,1,15,7,1149.99,1526.03,376.04,12,Medium,0.29,0.89,2,0,None,0,100.0
T147,MEP,2024-08-22,2024-09-14,24,23,-1,0,17,3,77335.42,80644.97,3309.55,8,Low,0.3,0.2,4,0,None,3,92.6
T148,MEP,2024-08-14,2024-08-29,15,15,0,0,4,4,73534.09,77508.15,3974.06,25,Low,0.63,0.74,1,0,None,0,95.7
T149,Pre-Construction,2024-04-01,2024-05-14,48,43,-5,0,12,9,61732.69,55293.5,-6439.19,3,High,0.95,0.42,2,0,None,2,93.0
T150,Structural,2024-06-06,2024-07-05,29,29,0,0,5,6,6882.51,7579.87,697.36,16,High,0.45,0.49,4,1,Minor,3,72.8
T151,Closeout & Commissioning,2025-01-24,2025-03-01,27,36,9,1,5,5,71461.04,76884.99,5423.95,15,Low,0.9,0.8,2,0,None,0,96.6
T152,Structural,2024-07-30,2024-08-12,11,13,2,1,11,3,57704.46,58787.65,1083.19,14,Medium,0.81,0.43,0,0,None,0,100.0
T153,Foundation & Sitework,2024-06-04,2024-07-06,32,32,0,0,6,9,75684.74,78414.04,2729.3,2,High,0.4,0.53,0,0,None,0,95.4
T154,MEP,2024-09-25,2024-12-05,63,71,8,1,7,5,60309.18,75422.95,15113.77,24,High,0.23,0.14,0,1,Minor,4,72.2
T155,Closeout & Commissioning,2024-12-25,2025-02-22,53,59,6,1,14,5,75701.56,80497.21,4795.65,19,Medium,0.28,0.1,1,0,None,0,96.7
T156,Structural,2024-08-16,2024-11-10,98,86,-12,0,11,4,45334.49,52282.8,6948.31,4,Low,0.78,0.3,0,0,None,2,97.8
T157,MEP,2024-10-21,2024-11-18,28,28,0,0,13,4,12460.29,14892.13,2431.84,22,Low,0.36,0.64,1,0,None,0,100.0
T158,Finishing & Interiors,2024-11-13,2025-01-18,66,66,0,0,2,1,59065.45,67444.59,8379.14,4,High,0.5,0.2,0,0,None,4,85.3
T159,Structural,2024-08-26,2024-10-07,33,42,9,1,7,7,60181.81,62426.9,2245.09,19,Low,0.6,0.19,2,0,None,0,100.0
T160,Finishing & Interiors,2024-10-30,2024-12-14,45,45,0,0,4,9,75327.71,74483.07,-844.64,14,Medium,0.78,0.43,4,1,Moderate,5,62.3
T161,Structural,2024-07-22,2024-09-22,43,62,19,1,8,3,17469.35,17818.22,348.87,17,Low,0.29,0.62,4,0,None,1,100.0
T162,MEP,2024-11-05,2025-01-01,57,57,0,0,19,2,20515.22,20302.54,-212.68,14,Low,0.53,0.67,0,0,None,4,85.2
T163,MEP,2024-09-09,2024-09-15,5,6,1,1,13,3,68955.54,89150.54,20195.0,1,Low,0.59,0.24,4,1,Minor,0,88.9
T164,MEP,2024-08-30,2024-09-27,28,28,0,0,14,1,65824.91,75247.8,9422.89,28,High,0.63,0.16,0,0,None,2,98.3
T165,Foundation & Sitework,2024-05-23,2024-06-20,32,28,-4,0,10,6,77475.68,90914.62,13438.94,12,Low,0.85,0.85,0,1,Moderate,0,79.2
T166,Finishing & Interiors,2024-10-30,2024-12-13,32,44,12,1,11,7,65842.43,76112.82,10270.39,3,Medium,0.34,0.31,3,0,None,4,89.4
T167,Structural,2024-08-20,2024-11-12,100,84,-16,0,2,2,53167.14,60118.38,6951.24,9,Low,0.85,0.78,3,0,None,0,100.0
T168,Foundation & Sitework,2024-04-25,2024-05-25,25,30,5,1,9,8,66778.21,65759.14,-1019.07,12,Low,0.75,0.79,3,0,None,0,99.0
T169,Pre-Construction,2024-03-05,2024-05-06,62,62,0,0,17,6,68845.08,89023.66,20178.58,9,Low,0.64,0.72,1,0,None,0,100.0
T170,MEP,2024-10-29,2025-01-12,74,75,1,1,3,4,52245.5,58301.87,6056.37,28,Medium,0.76,0.24,3,0,None,5,85.3
T171,MEP,2024-08-09,2024-11-06,64,89,25,1,6,5,53091.57,63606.74,10515.17,8,Low,0.53,0.76,0,0,None,0,100.0
T172,Pre-Construction,2024-03-07,2024-05-08,61,62,1,1,5,8,16772.8,16491.19,-281.61,7,Low,0.31,0.72,2,0,None,0,99.3
T173,MEP,2024-09-09,2024-09-10,1,1,0,0,5,3,36338.63,47918.2,11579.57,2,Low,0.73,0.58,3,0,None,4,90.3
T174,Foundation & Sitework,2024-04-08,2024-05-05,20,27,7,1,15,3,71949.08,71923.31,-25.77,15,Low,0.62,0.37,3,0,None,0,100.0
T175,MEP,2024-08-26,2024-10-27,44,62,18,1,17,4,24216.83,27823.33,3606.5,13,High,0.71,0.31,2,0,None,1,93.5
T176,Foundation & Sitework,2024-04-26,2024-07-12,77,77,0,0,9,1,22356.94,21023.16,-1333.78,8,High,0.47,0.2,0,0,None,0,100.0
